,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1702,Paramariboplein 45,58.0,2018-02-16,apartment,2018-02-08T06:57:47,amsterdam-west,1013598,52.3595703,4.85429521,3 rooms apartment in Paramariboplein 45,1450.0,3,[],pararius,amsterdam
1705,Rijnstraat,60.0,2018-02-16,apartment,2018-02-07T07:00:00,amsterdam-zuid,1008046,52.34532106,4.90588888,3 rooms apartment in Rijnstraat,1750.0,3,[],pararius,amsterdam
1708,Olympiaplein,100.0,2018-02-16,apartment,2017-10-21T07:49:13,amsterdam-zuid,615513,52.34601536,4.86609574,3 rooms apartment in Olympiaplein,1750.0,3,[],pararius,amsterdam
1711,Amstelveenseweg 210,67.0,2018-02-16,apartment,2018-01-11T10:47:33,amsterdam-zuid,901619,52.35148894,4.85599209,2 rooms apartment in Amstelveenseweg 210,1975.0,2,[],pararius,amsterdam
1717,De Lairessestraat,92.0,2018-02-16,apartment,2017-12-07T09:03:53,amsterdam-zuid,791165,52.35334951,4.87018706,3 rooms apartment in De Lairessestraat,3250.0,3,[],pararius,amsterdam
1718,Kanteel,110.0,2018-02-16,apartment,2017-10-21T07:13:12,amsterdam-zuid,613406,52.32542785,4.88140218,3 rooms apartment in Kanteel,1800.0,3,[],pararius,amsterdam
1719,Binnen Wieringerstraat,60.0,2018-02-16,apartment,2017-11-28T08:04:58,amsterdam-centrum,705286,52.3794816,4.89237359,2 rooms apartment in Binnen Wieringerstraat,1750.0,2,[],pararius,amsterdam
1720,Binnenkant 23,100.0,2018-02-16,apartment,2017-10-21T08:10:16,amsterdam-centrum,616773,52.37343095,4.90409785,3 rooms apartment in Binnenkant 23,2550.0,3,[],pararius,amsterdam
1726,Tweede Tuindwarsstraat,90.0,2018-02-16,apartment,2018-01-19T06:17:04,amsterdam-centrum,928743,52.37730709,4.88185332,2 rooms apartment in Tweede Tuindwarsstraat,2000.0,2,[],pararius,amsterdam
1729,Spinozastraat 15,58.0,2018-02-16,apartment,2018-01-31T06:40:17,amsterdam-centrum,981539,52.36093604,4.90974483,3 rooms apartment in Spinozastraat 15,2000.0,3,[],pararius,amsterdam
1731,Keizersgracht,70.0,2018-02-16,apartment,2017-11-29T08:22:07,amsterdam-centrum,707002,52.36332038,4.89421283,2 rooms apartment in Keizersgracht,2250.0,2,[],pararius,amsterdam
1732,Wittgensteinlaan,80.0,2018-02-16,apartment,2017-10-21T06:59:21,amsterdam-nieuw-west,612565,52.35298162,4.83648188,3 rooms apartment in Wittgensteinlaan,1750.0,3,[],pararius,amsterdam
1733,Boerhaaveplein,75.0,2018-02-16,apartment,2018-02-09T06:08:01,amsterdam-oost,1015535,52.35924429,4.91287234,3 rooms apartment in Boerhaaveplein,1700.0,3,[],pararius,amsterdam
1738,Tugelaweg,70.0,2018-02-16,apartment,2018-02-02T06:24:13,amsterdam-oost,992403,52.35654161,4.92371335,2 rooms apartment in Tugelaweg,1650.0,2,[],pararius,amsterdam
1740,Keizersgracht,270.0,2018-02-16,apartment,2017-12-09T08:03:03,amsterdam-centrum,799353,52.37279205,4.88532625,4 rooms apartment in Keizersgracht,3950.0,4,[],pararius,amsterdam
1743,Hasebroekstraat,53.0,2018-02-16,apartment,2018-02-09T06:08:03,amsterdam-west,1015536,52.36611179,4.86605057,2 rooms apartment in Hasebroekstraat,1450.0,2,[],pararius,amsterdam
